NR. DOSAR,DATA ÎNREGISTRĂRII,TERMEN,SOLUȚIE
49434/RD/2016,01.06.2016,,06.07.2017
49679/RD/2016,02.06.2016,,20.01.2017
49756/RD/2016,02.06.2016,,20.01.2017
50093/RD/2016,03.06.2016,,20.01.2017
50123/RD/2016,03.06.2016,,20.01.2017
50126/RD/2016,03.06.2016,,20.01.2017
50131/RD/2016,03.06.2016,,20.01.2017
50136/RD/2016,03.06.2016,,20.01.2017
50197/RD/2016,03.06.2016,,20.01.2017
50199/RD/2016,03.06.2016,,20.01.2017
50201/RD/2016,03.06.2016,,20.01.2017
50209/RD/2016,03.06.2016,,20.01.2017
50212/RD/2016,03.06.2016,,20.01.2017
50215/RD/2016,03.06.2016,,20.01.2017
50217/RD/2016,03.06.2016,,10.03.2017
50223/RD/2016,03.06.2016,,10.03.2017
50298/RD/2016,06.06.2016,,29.05.2017
50303/RD/2016,06.06.2016,,20.01.2017
50308/RD/2016,06.06.2016,,10.03.2017
50312/RD/2016,06.06.2016,,20.01.2017
50316/RD/2016,06.06.2016,,07.04.2017
50321/RD/2016,06.06.2016,,21.12.2016
50327/RD/2016,06.06.2016,,21.12.2016
50329/RD/2016,06.06.2016,,21.12.2016
50333/RD/2016,06.06.2016,,21.12.2016
50337/RD/2016,06.06.2016,,03.08.2017
50345/RD/2016,06.06.2016,,03.08.2017
